Country,Crop,Year,Yield_tonnes_per_ha
Australia,Apples,1961,11.068200000000001
Australia,Apricots,1961,10.725100000000001
Australia,Asparagus,1961,3.9833000000000003
Australia,Bananas,1961,11.964
Australia,Barley,1961,0.9759
Australia,"Beans, dry",1961,0.5525
Australia,"Broad beans and horse beans, dry",1961,0.3925
Australia,Cabbages,1961,26.287599999999998
Australia,Canary seed,1961,0.4123
Australia,Cantaloupes and other melons,1961,7.9882
Australia,Carrots and turnips,1961,24.9535
Australia,Cauliflowers and broccoli,1961,28.531599999999997
Australia,Cherries,1961,5.9171000000000005
Australia,Cucumbers and gherkins,1961,10.2449
Australia,Currants,1961,2.7342
Australia,Figs,1961,5.9316
Australia,"Flax, raw or retted",1961,0.875
Australia,Grapes,1961,10.8541
Australia,Green corn (maize),1961,7.7778
Australia,"Groundnuts, excluding shelled",1961,1.341
Australia,"Hen eggs in shell, fresh",1961,0.183
Australia,Hop cones,1961,2.1831
Australia,Lemons and limes,1961,11.212
Australia,Lettuce and chicory,1961,11.322
Australia,Linseed,1961,0.5087
Australia,Lupins,1961,0.3881
Australia,Maize (corn),1961,2.1213
Australia,"Mangoes, guavas and mangosteens",1961,3.4081
Australia,Millet,1961,1.009
Australia,Mustard seed,1961,0.4067
Australia,Oats,1961,0.7982
Australia,Olives,1961,0.9926
Australia,"Onions and shallots, dry (excluding dehydrated)",1961,15.5576
Australia,Oranges,1961,11.117299999999998
Australia,"Other beans, green",1961,3.7468000000000004
Australia,Other berries and fruits of the genus vaccinium n.e.c.,1961,7.1991000000000005
Australia,"Other fibre crops, raw, n.e.c.",1961,0.673
Australia,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",1961,0.6887000000000001
Australia,"Other vegetables, fresh n.e.c.",1961,20.6408
Australia,Papayas,1961,13.508700000000001
Australia,Peaches and nectarines,1961,8.215
Australia,Pears,1961,15.2027
Australia,"Peas, dry",1961,0.9185
Australia,"Peas, green",1961,3.3653000000000004
Australia,Pineapples,1961,25.3005
Australia,Plums and sloes,1961,6.6319
Australia,Pomelos and grapefruits,1961,16.3704
Australia,Potatoes,1961,12.3285
Australia,"Pumpkins, squash and gourds",1961,9.174299999999999
Australia,Raspberries,1961,5.9772
Australia,Rice,1961,5.9
Australia,Rye,1961,0.429
Australia,Safflower seed,1961,0.43060000000000004
Australia,"Seed cotton, unginned",1961,0.4733
Australia,Sorghum,1961,1.5807
Australia,Soya beans,1961,0.6667000000000001
Australia,Spinach,1961,17.0306
Australia,Strawberries,1961,4.2522
Australia,Sugar cane,1961,62.1661
Australia,Sunflower seed,1961,0.7318
Australia,Sweet potatoes,1961,7.7344
Australia,"Tangerines, mandarins, clementines",1961,9.113700000000001
Australia,Tomatoes,1961,20.3614
Australia,Unmanufactured tobacco,1961,1.2718
Australia,Vetches,1961,0.6716
Australia,Watermelons,1961,9.7633
Australia,Wheat,1961,1.1291
Australia,"Cereals, primary",1961,1.0839
Australia,"Citrus Fruit, Total",1961,11.1329
Australia,"Fibre Crops, Fibre Equivalent",1961,0.2105
Australia,Fruit Primary,1961,11.1938
Australia,"Oilcrops, Cake Equivalent",1961,0.3301
Australia,"Oilcrops, Oil Equivalent",1961,0.21080000000000002
Australia,"Pulses, Total",1961,0.865
Australia,"Roots and Tubers, Total",1961,12.3049
Australia,Sugar Crops Primary,1961,62.1661
Australia,"Treenuts, Total",1961,1.7925
Australia,Vegetables Primary,1961,10.0846
Brazil,Apples,1961,9.5193
Brazil,Avocados,1961,10.3125
Brazil,Bananas,1961,14.5656
Brazil,Barley,1961,0.7715
Brazil,"Beans, dry",1961,0.676
Brazil,"Broad beans and horse beans, dry",1961,0.49019999999999997
Brazil,Buckwheat,1961,1.1111
Brazil,Cantaloupes and other melons,1961,1.2712999999999999
Brazil,"Cashew nuts, in shell",1961,0.19340000000000002
Brazil,Cashewapple,1961,5.031
Brazil,"Cassava, fresh",1961,13.0732
Brazil,Castor oil seeds,1961,0.7332000000000001
Brazil,Cocoa beans,1961,0.3287
Brazil,"Coconuts, in shell",1961,1.9002999999999999
Brazil,"Coffee, green",1961,0.5084
Brazil,"Eggs from other birds in shell, fresh, n.e.c.",1961,0.07
Brazil,Figs,1961,5.7406999999999995
Brazil,Grapes,1961,6.9508
Brazil,Green garlic,1961,2.3315
Brazil,"Groundnuts, excluding shelled",1961,1.3393
Brazil,"Hen eggs in shell, fresh",1961,0.1
Brazil,"Jute, raw or retted",1961,1.3534000000000002
Brazil,"Kenaf, and other textile bast fibres, raw or retted",1961,1.3397999999999999
Brazil,Lemons and limes,1961,7.1778
Brazil,Linseed,1961,0.6018
Brazil,Maize (corn),1961,1.3123
Brazil,"Mangoes, guavas and mangosteens",1961,16.0917
Brazil,Oats,1961,0.6648
Brazil,Oil palm fruit,1961,10.0
Brazil,"Onions and shallots, dry (excluding dehydrated)",1961,4.7135
Brazil,Oranges,1961,14.835899999999999
Brazil,"Other vegetables, fresh n.e.c.",1961,3.5
Brazil,Papayas,1961,12.75
Brazil,Peaches and nectarines,1961,6.3581
Brazil,Pears,1961,12.6912
Brazil,"Pepper (Piper spp.), raw",1961,1.5913
Brazil,Persimmons,1961,6.1192
Brazil,Pineapples,1961,10.8143
Brazil,Potatoes,1961,5.6485
Brazil,Quinces,1961,3.0
Brazil,"Ramie, raw or retted",1961,1.7143
Brazil,Rice,1961,1.6989
Brazil,Rye,1961,0.7341
Brazil,"Seed cotton, unginned",1961,0.6307
Brazil,Sesame seed,1961,0.5769
Brazil,"Sisal, raw",1961,0.8335
Brazil,Sorghum,1961,2.5
Brazil,Soya beans,1961,1.1269
Brazil,Sugar cane,1961,43.4477
Brazil,Sweet potatoes,1961,9.869200000000001
Brazil,"Tangerines, mandarins, clementines",1961,14.4089
Brazil,Tea leaves,1961,1.2098
Brazil,Tomatoes,1961,13.3322
Brazil,Unmanufactured tobacco,1961,0.7372000000000001
Brazil,Watermelons,1961,2.1101
Brazil,Wheat,1961,0.533
Brazil,Yams,1961,8.9474
Brazil,"Cereals, primary",1961,1.3463
Brazil,"Citrus Fruit, Total",1961,14.511700000000001
Brazil,"Fibre Crops, Fibre Equivalent",1961,0.3147
Brazil,Fruit Primary,1961,10.5541
Brazil,"Oilcrops, Cake Equivalent",1961,0.3195
Brazil,"Oilcrops, Oil Equivalent",1961,0.1595
Brazil,"Pulses, Total",1961,0.6681
Brazil,"Roots and Tubers, Total",1961,11.9686
Brazil,Sugar Crops Primary,1961,43.4477
Brazil,"Treenuts, Total",1961,1.238
Brazil,Vegetables Primary,1961,4.2685
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1961,0.5
India,Apples,1961,4.1573
India,Apricots,1961,2.7586
India,Areca nuts,1961,0.8889
India,Bananas,1961,13.678799999999999
India,Barley,1961,0.8796
India,"Beans, dry",1961,0.2577
India,Cabbages,1961,13.7143
India,Cantaloupes and other melons,1961,13.6842
India,Carrots and turnips,1961,8.0
India,"Cashew nuts, in shell",1961,0.425
India,"Cassava, fresh",1961,7.186100000000001
India,Castor oil seeds,1961,0.2243
India,Cauliflowers and broccoli,1961,10.0732
India,Cherries,1961,2.5
India,"Chick peas, dry",1961,0.6738
India,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1961,0.6315
India,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1961,5.964899999999999
India,"Coconuts, in shell",1961,4.603
India,"Coffee, green",1961,0.45
India,Cucumbers and gherkins,1961,4.7273000000000005
India,Eggplants (aubergines),1961,6.6
India,Figs,1961,2.2222
India,"Ginger, raw",1961,0.9047999999999999
India,Grapes,1961,15.9091
India,Green garlic,1961,3.7143
India,"Groundnuts, excluding shelled",1961,0.7249
India,"Hen eggs in shell, fresh",1961,0.103
India,"Jute, raw or retted",1961,1.248
India,"Kenaf, and other textile bast fibres, raw or retted",1961,0.6611
India,Lemons and limes,1961,11.5278
India,"Lentils, dry",1961,0.45330000000000004
India,Lettuce and chicory,1961,4.5455
India,Linseed,1961,0.2225
India,Maize (corn),1961,0.9567
India,"Mangoes, guavas and mangosteens",1961,8.221200000000001
India,Millet,1961,0.4141
India,Natural rubber in primary forms,1961,0.5998
India,"Nutmeg, mace, cardamoms, raw",1961,0.06
India,Okra,1961,5.1667
India,"Onions and shallots, dry (excluding dehydrated)",1961,10.0
India,Oranges,1961,13.9259
India,"Other beans, green",1961,2.3125
India,"Other citrus fruit, n.e.c.",1961,12.5
India,"Other fruits, n.e.c.",1961,6.0
India,"Other oil seeds, n.e.c.",1961,0.20959999999999998
India,Other pulses n.e.c.,1961,0.4037
India,"Other tropical fruits, n.e.c.",1961,6.5556
India,"Other vegetables, fresh n.e.c.",1961,6.5054
India,Papayas,1961,38.0
India,Peaches and nectarines,1961,4.3
India,Pears,1961,5.409800000000001
India,"Peas, dry",1961,0.8919
India,"Peas, green",1961,9.1667
India,"Pepper (Piper spp.), raw",1961,0.2718
India,"Pigeon peas, dry",1961,0.8492000000000001
India,Pineapples,1961,10.9039
India,Plums and sloes,1961,3.6666999999999996
India,Pomelos and grapefruits,1961,15.3846
India,Potatoes,1961,7.2507
India,"Pumpkins, squash and gourds",1961,6.52
India,Rape or colza seed,1961,0.4672
India,Rice,1961,1.5419
India,Safflower seed,1961,0.15
India,"Seed cotton, unginned",1961,0.3579
India,Sesame seed,1961,0.16519999999999999
India,Sorghum,1961,0.44
India,Soya beans,1961,0.4545
India,Sugar cane,1961,45.586800000000004
India,Sweet potatoes,1961,7.7362
India,Tea leaves,1961,1.0699
India,Tomatoes,1961,9.28
India,Unmanufactured tobacco,1961,0.7656000000000001
India,"Walnuts, in shell",1961,0.8571
India,Watermelons,1961,10.9231
India,Wheat,1961,0.8507
India,"Cereals, primary",1961,0.9472999999999999
India,"Citrus Fruit, Total",1961,12.9904
India,"Fibre Crops, Fibre Equivalent",1961,0.2728
India,Fruit Primary,1961,8.671700000000001
India,"Oilcrops, Cake Equivalent",1961,0.1901
India,"Oilcrops, Oil Equivalent",1961,0.1318
India,"Pulses, Total",1961,0.5401
India,"Roots and Tubers, Total",1961,7.3264
India,Sugar Crops Primary,1961,45.586800000000004
India,"Treenuts, Total",1961,0.45330000000000004
India,Vegetables Primary,1961,6.610600000000001
Nigeria,Carrots and turnips,1961,7.5
Nigeria,"Cashew nuts, in shell",1961,0.4667
Nigeria,"Cassava, fresh",1961,9.466700000000001
Nigeria,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1961,1.5
Nigeria,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1961,8.0
Nigeria,Cocoa beans,1961,0.2814
Nigeria,"Coconuts, in shell",1961,2.7143
Nigeria,"Coffee, green",1961,0.18330000000000002
Nigeria,"Cow peas, dry",1961,0.3544
Nigeria,Fonio,1961,0.4714
Nigeria,"Ginger, raw",1961,0.5
Nigeria,Green corn (maize),1961,2.0072
Nigeria,"Groundnuts, excluding shelled",1961,1.0517
Nigeria,"Hen eggs in shell, fresh",1961,0.097
Nigeria,Karite nuts (sheanuts),1961,1.08
Nigeria,Kola nuts,1961,0.8967999999999999
Nigeria,Maize (corn),1961,0.8051
Nigeria,"Mangoes, guavas and mangosteens",1961,5.0
Nigeria,Melonseed,1961,0.3225
Nigeria,Millet,1961,0.6063999999999999
Nigeria,Natural rubber in primary forms,1961,0.4462
Nigeria,Oil palm fruit,1961,2.5
Nigeria,Okra,1961,1.5667
Nigeria,"Onions and shallots, green",1961,7.1
Nigeria,"Other citrus fruit, n.e.c.",1961,3.3333000000000004
Nigeria,"Other fruits, n.e.c.",1961,6.0203999999999995
Nigeria,Other pulses n.e.c.,1961,0.44089999999999996
Nigeria,"Other stimulant, spice and aromatic crops, n.e.c.",1961,1.25
Nigeria,"Other vegetables, fresh n.e.c.",1961,4.7995
Nigeria,Papayas,1961,7.1429
Nigeria,Pineapples,1961,6.25
Nigeria,Plantains and cooking bananas,1961,3.99
Nigeria,Potatoes,1961,9.0
Nigeria,Rice,1961,0.8926000000000001
Nigeria,"Seed cotton, unginned",1961,0.5167
Nigeria,Sesame seed,1961,0.28
Nigeria,Sorghum,1961,0.8497
Nigeria,Soya beans,1961,0.3497
Nigeria,Sugar cane,1961,24.5714
Nigeria,Sweet potatoes,1961,11.4615
Nigeria,Taro,1961,6.337
Nigeria,Tomatoes,1961,9.7778
Nigeria,Unmanufactured tobacco,1961,0.7017
Nigeria,Wheat,1961,1.7778
Nigeria,Yams,1961,7.7778
Nigeria,"Cereals, primary",1961,0.743
Nigeria,"Citrus Fruit, Total",1961,3.3333000000000004
Nigeria,"Fibre Crops, Fibre Equivalent",1961,0.18080000000000002
Nigeria,Fruit Primary,1961,4.4329
Nigeria,"Oilcrops, Cake Equivalent",1961,0.19169999999999998
Nigeria,"Oilcrops, Oil Equivalent",1961,0.39039999999999997
Nigeria,"Pulses, Total",1961,0.36060000000000003
Nigeria,"Roots and Tubers, Total",1961,8.554
Nigeria,Sugar Crops Primary,1961,24.5714
Nigeria,"Treenuts, Total",1961,0.4667
Nigeria,Vegetables Primary,1961,3.8142
South Africa,Apples,1961,13.692
South Africa,Apricots,1961,7.7863999999999995
South Africa,Avocados,1961,4.733
South Africa,Bananas,1961,7.3849
South Africa,Barley,1961,0.6207
South Africa,"Beans, dry",1961,0.7397
South Africa,Buckwheat,1961,0.7333
South Africa,Cabbages,1961,26.8
South Africa,Cantaloupes and other melons,1961,10.632
South Africa,Carrots and turnips,1961,32.142900000000004
South Africa,Castor oil seeds,1961,0.5882000000000001
South Africa,Cauliflowers and broccoli,1961,32.5
South Africa,Cereals n.e.c.,1961,0.6
South Africa,Cherries,1961,2.7875
South Africa,Chicory roots,1961,2.5476
South Africa,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1961,1.0217
South Africa,"Cow peas, dry",1961,0.6196
South Africa,Cucumbers and gherkins,1961,10.072899999999999
South Africa,Figs,1961,2.8916999999999997
South Africa,Grapes,1961,7.7097
South Africa,Green corn (maize),1961,10.0
South Africa,"Groundnuts, excluding shelled",1961,0.8781
South Africa,"Hen eggs in shell, fresh",1961,0.171
South Africa,Hop cones,1961,0.91
South Africa,"Kenaf, and other textile bast fibres, raw or retted",1961,1.0
South Africa,Lemons and limes,1961,16.2162
South Africa,Lettuce and chicory,1961,10.426
South Africa,Lupins,1961,0.2315
South Africa,Maize (corn),1961,1.2852999999999999
South Africa,"Mangoes, guavas and mangosteens",1961,6.834
South Africa,Millet,1961,0.6
South Africa,Oats,1961,1.4773
South Africa,"Onions and shallots, dry (excluding dehydrated)",1961,15.103
South Africa,Oranges,1961,15.9543
South Africa,"Other beans, green",1961,6.0
South Africa,Other berries and fruits of the genus vaccinium n.e.c.,1961,4.665
South Africa,"Other fibre crops, raw, n.e.c.",1961,0.9071
South Africa,"Other fruits, n.e.c.",1961,7.5
South Africa,"Other oil seeds, n.e.c.",1961,1.2
South Africa,"Other vegetables, fresh n.e.c.",1961,13.0003
South Africa,Papayas,1961,8.4892
South Africa,Peaches and nectarines,1961,9.9331
South Africa,Pears,1961,11.1984
South Africa,"Peas, dry",1961,1.1142999999999998
South Africa,"Peas, green",1961,6.0
South Africa,Pineapples,1961,23.4623
South Africa,Plums and sloes,1961,4.722
South Africa,Pomelos and grapefruits,1961,18.9655
South Africa,Potatoes,1961,7.6004
South Africa,"Pumpkins, squash and gourds",1961,15.3846
South Africa,Rice,1961,1.5875
South Africa,Rye,1961,0.1778
South Africa,"Seed cotton, unginned",1961,1.0432000000000001
South Africa,"Sisal, raw",1961,0.4667
South Africa,Sorghum,1961,1.0214
South Africa,Soya beans,1961,0.5262
South Africa,Strawberries,1961,2.95
South Africa,Sugar cane,1961,88.67710000000001
South Africa,Sunflower seed,1961,0.5916
South Africa,Sweet potatoes,1961,2.9286
South Africa,"Tangerines, mandarins, clementines",1961,12.402899999999999
South Africa,Tea leaves,1961,1.8182
South Africa,Tomatoes,1961,26.4286
South Africa,Unmanufactured tobacco,1961,0.7938999999999999
South Africa,Watermelons,1961,10.264700000000001
South Africa,Wheat,1961,0.619
South Africa,"Cereals, primary",1961,1.0991
South Africa,"Citrus Fruit, Total",1961,16.1822
South Africa,"Fibre Crops, Fibre Equivalent",1961,0.4672
South Africa,Fruit Primary,1961,10.5298
South Africa,"Oilcrops, Cake Equivalent",1961,0.31789999999999996
South Africa,"Oilcrops, Oil Equivalent",1961,0.2501
